genotype_name,genotype_id,treatment,location,rep,R01_days_diff_raceme_start,R02_diff_in_mean_rate,R03_max_rate,R04_days_diff_to_max_rate,R05_days_diff_main_ext_period,R06_50ht_period,R07_75ht_period,R08_50ht_rate,R09_75ht_rate,R10_max_height,R11_max_height_DAS,R12_extension_days_to_max,R13_raceme_collapse,R14_BBCH51_to_raceme_start,R15_elong_in_vern,F01_first_flowers_DAS,F02_peak_flowers_DAS,F03_flowering_days_to_peak,F06_pixel.day_peak,F07_pixel.days_to_peak,F09_mean_pixel.days_to_peak,Ground_BBCH51,Ground_BBCH60,Ground_60-51,Auto60-ground51,,,,,,,,,,,,,,
CANARD,BR017-185,tenminusfive,1,2,2.01208333,-7.65604408,44.6841089,3.88759259,-0.04498303,1.088888913,1.20902383,-23.88853282,-16.35327409,-103,0.0015741,-2.01050926,0,0.01208333,0,2,9,7,-2995,9580,-1954.928571,2,2,0,0,,,,,,,,,,,,,,
CANARD,BR017-185,tenminusfive,2,3,2.00159722,-15.09410795,-6.1554625,3.03219907,0.71788649,0.447864733,1.27465132,-24.76588203,-22.94232193,-210,0.001574,-2.00002315,0,0.00159722,0,3,4,1,-2721,-14770,-2197.284722,2,3,1,1,,,,,,,,,,,,,,
Dwarf_Essex,BR017-193,tenminusfive,1,1,,,,,,,,,,,,,0,,1,,,2,1165,-7261,-569.4305556,,,3,3,,,,,,,,,,,,,,
Dwarf_Essex,BR017-193,tenminusfive,1,2,,,,,,,,,,,,,0,,1,,,,,,,7,,,,,,,,,,,,,,,,,
Dwarf_Essex,BR017-193,tenminusfive,2,3,0.00032407,-22.18143304,-15.13505267,10.04797452,19.34045081,13.64758267,20.60126502,-32.91250209,-29.33531947,0,19.3655903,19.36526621,0,-2.99967593,1,10,13,3,-3620,-86483,-3416.92573,3,7,4,7,,,,,,,,,,,,,,
Taisetsu,BR017-203,tenminusfive,1,1,3.68603009,-20.84055733,17.2761152,4.31733797,1.53210979,0.09291001,0.52884982,-24.16636947,-22.78147363,-290,8.7168171,5.03078704,0,1.68603009,0,3,16,13,-8478,-4079.5,-4196.366071,2,2,0,1,,,,,,,,,,,,,,
Taisetsu,BR017-203,tenminusfive,1,2,5.04579861,-4.74336036,10.2143805,6.0546875,3.88457976,0.421700513,7.57212238,-4.6254252,-37.92087318,228,6.8880208,1.84222223,0,0.04579861,0,4,11,7,-6500,-35817.5,-3599.33288,5,2,-3,-1,,,,,,,,,,,,,,
Taisetsu,BR017-203,tenminusfive,2,3,1.10289352,-6.3799053,-29.2366257,3.03233796,1.66235749,1.042108053,1.78981515,-30.2301488,-15.90514341,41,0.001574,-1.10131945,0,-0.89710648,0,0,0,0,-9583,-69104,-4936,2,0,-2,-2,,,,,,,,,,,,,,
BRAUNER_SCHNITTKOHL,BR017-206,tenminusfive,1,1,5.99144676,-13.38693622,-30.1282718,7.58399307,1.84166622,3.166001333,1.80679591,-43.16362278,-17.77350712,-83,1.0575116,-4.93393518,0,-1.00855324,0,14,9,-5,-5254,-61203,-3572.433333,7,11,4,7,,,,,,,,,,,,,,
BRAUNER_SCHNITTKOHL,BR017-206,tenminusfive,1,2,12.00136574,8.09332198,-27.5975707,13.08001161,-9.371086708,-3.809044165,-7.664346255,-5.56066524,22.08471599,-557,0.9921065,-11.00925926,0,5.00136574,0,10,-9,-19,-7684,-149351,-5160.84,7,7,0,3,,,,,,,,,,,,,,
