genotype_name,genotype_id,treatment,location,rep,R01_days_diff_raceme_start,R02_ratio_mean_rate,R03_max_rate,R04_days_diff_to_max_rate,R05_days_diff_main_ext_period,R06_50ht_period,R07_75ht_period,R08_50ht_rate,R09_75ht_rate,R10_max_height,R11_max_height_DAS,R12_extension_days_to_max,R13_raceme_collapse,R14_BBCH51_to_raceme_start,R15_elong_in_vern,F01_first_flowers_DAS,F02_peak_flowers_DAS,F03_flowering_days_to_peak,F06_pixel.day_peak,F07_pixel.days_to_peak,F09_mean_pixel.days_to_peak,Ground_BBCH51,Ground_BBCH60,Ground_60-51,Auto60-ground51,,,,,,,,,,,,
Ramses,BR017-168,tenvsfive,1,2,1.011576949,0.913053738,0.777233212,1.07212616,0.965707386,1.476073196,1.091398219,0.606226,0.810373266,0.871766029,1.000033529,0.956754862,,-0.093562809,,1.115384615,1.15625,1.285714286,0.962705583,0.966273751,0.75154625,1.388888889,1.074074074,0.444444444,0.5,,,,,,,,,,,,
Ramses,BR017-168,tenvsfive,2,3,1.023426105,1.022556437,1.014632348,1.080800969,0.882435333,1.088669873,0.929517818,0.805570967,0.965000889,0.922784122,1.000035918,0.909919953,,-0.684702932,,1.166666667,1.129032258,1,0.95705746,1.141639034,1.141639034,1.25,1.28,1.4,0.75,,,,,,,,,,,,
Slovenska_Krajova,BR017-172,tenvsfive,1,1,1.034965487,0.527257535,0.730347742,1.119195503,1.623475777,1.208383948,1.840309543,0.707367708,0.464992839,0.856987493,1.203809408,1.277107553,,-0.268506211,,1.148148148,1.447368421,2.083333333,0.486743072,0.760264695,0.364927054,1.35,1.185185185,0.714285714,0.571428571,,,,,,,,,,,,
Slovenska_Krajova,BR017-172,tenvsfive,1,2,1.03484978,0.651248764,0.625638718,1.188836537,1.444788589,1.168238256,1.565847438,0.815489856,0.602521782,0.930940729,1.163678861,1.189934522,,1.008280482,,1.192307692,1.326086957,1.476190476,0.698757764,0.73585431,0.498481952,1.136363636,1.074074074,0.8,1.5,,,,,,,,,,,,
Slovenska_Krajova,BR017-172,tenvsfive,2,3,1.011519301,0.655366816,0.722540836,1.202507854,1.62489271,1.914417114,1.637535894,0.598556258,0.660726468,1,1.285185729,1.592248123,,-0.081425194,,1,1.076923077,1.25,0.494383032,0.592060478,0.473648383,1.136363636,1.074074074,0.8,0.5,,,,,,,,,,,,
CANARD,BR017-185,tenvsfive,1,1,1.080415687,1.063170676,0.847947533,1.212706413,0.860654627,0.790434969,0.946052235,1.142447309,0.96466276,0.923611111,1.021739933,0.727268184,,1.000789149,,1.214285714,1.382352941,2,0.538218952,1.456993737,0.728496869,1.318181818,1.172413793,0.714285714,0.833333333,,,,,,,,,,,,
CANARD,BR017-185,tenvsfive,1,2,1.023007679,0.897232644,1.401866565,1.136083625,0.997404599,1.161626691,1.098379032,0.718638971,0.803257285,0.942714127,1.000033801,0.909094239,,0.977922523,,1.064516129,1.243243243,2,0.595871003,1.2592763,0.62963815,1.08,1.0625,1,1,,,,,,,,,,,,
CANARD,BR017-185,tenvsfive,2,3,1.022801067,0.831379049,0.96055232,1.113203943,1.05249275,1.101571314,1.13325748,0.783758914,0.77008821,0.88320356,1.000035908,0.895005465,,0.992562662,,1.107142857,1.114285714,1.125,0.626133553,0.631160334,0.561031408,1.08,1.103448276,1.25,1.333333333,,,,,,,,,,,,
Dwarf_Essex,BR017-193,tenvsfive,1,1,,,,,,,,,,,,,,,,,,1.125,1.442125237,0.696319532,0.618950695,,,1.75,1.75,,,,,,,,,,,,
Dwarf_Essex,BR017-193,tenvsfive,1,2,,,,,,,,,,,,,,,,,,,,,,1.21875,,,,,,,,,,,,,,,
